Input Name,SymPy F5B Time (sec),CP GPU Time (sec),SP GPU Time (sec),SP2 GPU Time (sec),CP+SP GPU Time (sec),CP+SP2 GPU Time (sec),Number of Variables,Number of Polynomials,Max Degree,CP Matching,SP Matching,SP2 Matching,CPSP matching,CPSP2 matching
cyclic_affine_3,0.0008454322814941406,0.4028747081756592,0.0008006095886230469,0.0023682117462158203,0.008005619049072266,0.008675813674926758,3,3,1,True,True,True,True,True
cyclic_affine_4,0.012652158737182617,0.12807607650756836,0.15869855880737305,0.2184133529663086,0.1810286045074463,0.17064952850341797,4,4,1,True,True,True,True,True
katsura_affine_4,0.013780593872070312,0.08546972274780273,0.05527162551879883,0.11581230163574219,0.1194908618927002,0.10516119003295898,4,4,2,True,True,True,True,True
eco_affine_4,0.008033275604248047,0.09565162658691406,0.033682823181152344,0.06792020797729492,0.11025500297546387,0.11135101318359375,4,4,1,True,True,True,True,True
caprasse,36.13656997680664,100.98499894142151,117.23619532585144,234.48841524124146,162.26354217529297,153.6414189338684,4,4,3,True,True,True,True,True
cyclic_affine_5,2.787705183029175,23.18389058113098,9.424006223678589,19.948352336883545,29.893742561340332,29.838521480560303,5,5,1,True,True,True,True,True
katsura_affine_5,0.12850284576416016,0.6995301246643066,0.4337327480316162,1.2849998474121094,1.0774741172790527,1.1160831451416016,5,5,2,True,True,True,True,True
eco_affine_5,0.06469058990478516,0.4506344795227051,0.22617292404174805,0.5109128952026367,0.5340750217437744,0.5133681297302246,5,5,1,True,True,True,True,True
chandra_5,0.2723729610443115,2.5885329246520996,0.8865079879760742,2.4635894298553467,3.042698860168457,3.042391538619995,5,5,2,True,True,True,True,True
chemequs_5,2.599234104156494,10.968985080718994,8.165350198745728,18.45241403579712,15.807816505432129,15.701611757278442,5,5,2,True,True,True,True,True
camera1s,5.308441638946533,21.438265323638916,13.481467008590698,38.870402097702026,30.371442079544067,30.347776651382446,6,6,1,True,True,True,True,True
original_cyc_4_4_2,0.5096454620361328,1.2087435722351074,1.3199462890625,2.6537699699401855,1.9464025497436523,1.9411225318908691,8,8,2,True,True,True,True,True
comb3000s,0.1450188159942627,1.010923147201538,0.3929328918457031,1.3259141445159912,1.2219154834747314,1.1142563819885254,10,10,2,True,True,True,True,True
