Input Name,SymPy F5B Time (sec),CP GPU Time (sec),SP GPU Time (sec),SP2 GPU Time (sec),CP+SP GPU Time (sec),CP+SP2 GPU Time (sec),Number of Variables,Number of Polynomials,Max Degree,CP Matching,SP Matching,SP2 Matching,CPSP matching,CPSP2 matching
cyclic_affine_3,0.0008103847503662109,0.44419407844543457,0.0007803440093994141,0.002274751663208008,0.007554769515991211,0.008310079574584961,3,3,1,True,True,True,True,True
cyclic_affine_4,0.01232004165649414,0.12279343605041504,0.1533489227294922,0.21068763732910156,0.17525529861450195,0.16328930854797363,4,4,1,True,True,True,True,True
katsura_affine_4,0.01317596435546875,0.0829932689666748,0.05363631248474121,0.11207985877990723,0.11542248725891113,0.10071277618408203,4,4,2,True,True,True,True,True
eco_affine_4,0.007973194122314453,0.09277176856994629,0.03250455856323242,0.06579113006591797,0.10748982429504395,0.10746073722839355,4,4,1,True,True,True,True,True
caprasse,34.79500770568848,98.62167692184448,113.299480676651,228.58830380439758,153.53931617736816,153.21393656730652,4,4,3,True,True,True,True,True
cyclic_affine_5,2.78855299949646,23.030125856399536,9.403645992279053,19.896979570388794,29.599369049072266,29.551716327667236,5,5,1,True,True,True,True,True
katsura_affine_5,0.12692952156066895,0.6934027671813965,0.4306914806365967,1.269157886505127,1.0663180351257324,1.1081438064575195,5,5,2,True,True,True,True,True
eco_affine_5,0.06389784812927246,0.44842529296875,0.22464966773986816,0.5080595016479492,0.531578779220581,0.5106608867645264,5,5,1,True,True,True,True,True
chandra_5,0.26910924911499023,2.5665853023529053,0.8782422542572021,2.447685480117798,3.021969795227051,3.0162928104400635,5,5,2,True,True,True,True,True
chemequs_5,2.6051628589630127,10.993940591812134,8.102784395217896,18.34589147567749,15.678428173065186,15.56981611251831,5,5,2,True,True,True,True,True
camera1s,5.298770427703857,21.319239139556885,13.43905258178711,38.7912483215332,30.12689733505249,30.14228391647339,6,6,1,True,True,True,True,True
original_cyc_4_4_2,0.49803662300109863,1.194568157196045,1.3129794597625732,2.6464829444885254,1.9401094913482666,1.9323976039886475,8,8,2,True,True,True,True,True
comb3000s,0.14286422729492188,1.0031890869140625,0.39004015922546387,1.3154981136322021,1.215916633605957,1.1070830821990967,10,10,2,True,True,True,True,True
