Input Name,SymPy F5B Time (sec),CP GPU Time (sec),SP GPU Time (sec),SP2 GPU Time (sec),CP+SP GPU Time (sec),CP+SP2 GPU Time (sec),Number of Variables,Number of Polynomials,Max Degree,CP Matching,SP Matching,SP2 Matching,CPSP matching,CPSP2 matching
cyclic_affine_3,0.0009350776672363281,0.6842522621154785,0.0007739067077636719,0.0022699832916259766,0.007913589477539062,0.008848190307617188,3,3,1,True,True,True,True,True
cyclic_affine_4,0.012364864349365234,0.12864995002746582,0.15561652183532715,0.2143406867980957,0.18098735809326172,0.17179322242736816,4,4,1,True,True,True,True,True
katsura_affine_4,0.013234138488769531,0.08522915840148926,0.05384230613708496,0.11257266998291016,0.11906194686889648,0.10456514358520508,4,4,2,True,True,True,True,True
eco_affine_4,0.007998943328857422,0.09701848030090332,0.03322720527648926,0.06674623489379883,0.11147904396057129,0.11209774017333984,4,4,1,True,True,True,True,True
caprasse,35.04510450363159,100.16009259223938,114.0825707912445,230.065016746521,155.28177881240845,154.99675035476685,4,4,3,True,True,True,True,True
cyclic_affine_5,2.8105554580688477,23.83707308769226,9.423080921173096,19.99818515777588,30.416816473007202,30.44197416305542,5,5,1,True,True,True,True,True
katsura_affine_5,0.1283280849456787,0.7139332294464111,0.43083953857421875,1.2705919742584229,1.090883493423462,1.1407103538513184,5,5,2,True,True,True,True,True
eco_affine_5,0.0649867057800293,0.466472864151001,0.22690939903259277,0.5147044658660889,0.5493409633636475,0.5316610336303711,5,5,1,True,True,True,True,True
chandra_5,0.27481794357299805,2.671721935272217,0.887620210647583,2.463573932647705,3.1176235675811768,3.12030029296875,5,5,2,True,True,True,True,True
chemequs_5,2.6243069171905518,11.199626445770264,8.144168615341187,18.4456844329834,15.971097469329834,15.86946177482605,5,5,2,True,True,True,True,True
camera1s,5.3463826179504395,21.661248207092285,13.495452880859375,38.95079851150513,30.545660257339478,30.4526629447937,6,6,1,True,True,True,True,True
original_cyc_4_4_2,0.5258166790008545,1.2252449989318848,1.3198716640472412,2.6599483489990234,1.9667584896087646,1.9608843326568604,8,8,2,True,True,True,True,True
comb3000s,0.14542150497436523,1.0344643592834473,0.3930516242980957,1.3310251235961914,1.2463500499725342,1.1376020908355713,10,10,2,True,True,True,True,True
